image,emotion,mouth_distance,average_distance,eye_size,eye_brows
facial-expressions_2868585k.jpg,7,-28.666666666666668,57.84966085679047,19.57041403916734,-14.0
facial-expressions_2868582k.jpg,3,-3.0,38.70280081153609,17.217604311699297,-13.0
Aaron_Peirsol_0003.jpg,4,-13.333333333333334,48.809133685631714,14.62500543786457,-15.5
Aaron_Sorkin_0002.jpg,4,-20.0,54.84661097364283,15.454923948191222,-16.5
Abdel_Nasser_Assidi_0002.jpg,5,1.6666666666666667,37.75289867190978,16.119975744566894,-17.5
Abdullah_Gul_0002.jpg,4,-10.666666666666666,31.526246137174805,15.212361699981333,-31.5
Abdullah_Gul_0004.jpg,4,-18.666666666666668,43.84963937938855,14.809126539841124,-27.0
Abdullah_Gul_0007.jpg,5,-16.666666666666668,52.744249756280944,14.928030458317457,-16.0
Abdullah_Gul_0008.jpg,5,-14.666666666666666,43.030087747494704,16.46401949131588,-25.0
Abdullah_Gul_0009.jpg,5,-9.666666666666666,44.52980515017781,17.285294655882957,-33.5
Abdullah_Gul_0010.jpg,5,-19.0,42.7884876021609,16.746916082735154,-30.0
Abdullah_Gul_0011.jpg,5,-20.333333333333332,53.83463803718899,14.610964613856002,-18.5
Abdullah_Gul_0012.jpg,4,-10.666666666666666,41.944375857675674,15.416035752036603,-30.0
Abdullah_Gul_0013.jpg,5,-18.333333333333332,49.45532043899002,14.558880165698488,-26.0
Abdullah_Gul_0017.jpg,5,-4.0,39.86113709949897,12.270857500627447,-31.5
Abner_Martinez_0001.jpg,4,-20.0,51.15315560862032,13.845078019765369,-19.5
Aby_Har-Even_0001.jpg,5,0.0,47.404470501519285,15.507227849411139,-14.5
Adam_Mair_0001.jpg,7,-14.666666666666666,65.49280844854273,16.585202281289547,4.0
Adam_Rich_0001.jpg,5,-2.0,51.72293184072895,17.703780825288675,-21.5
Adelina_Avila_0001.jpg,5,-7.333333333333333,40.28278071515581,15.666465307307758,-13.0
Adel_Al-Jubeir_0001.jpg,5,-5.0,43.85066767294795,16.82837065617241,-11.5
Adolfo_Aguilar_Zinser_0001.jpg,5,-4.666666666666667,52.790328390968526,21.01243710775358,-16.5
Adoor_Gopalakarishnan_0001.jpg,5,-1.3333333333333333,45.15296234634577,15.53531197556621,-14.0
Adrien_Brody_0002.jpg,5,-0.6666666666666666,44.39241884839204,14.7248032569704,-19.0
Adrien_Brody_0003.jpg,4,-9.666666666666666,48.1249500067147,15.132168761236873,-18.5
Adrien_Brody_0006.jpg,4,-25.333333333333332,59.62701252651664,13.607569365912461,-22.5
Adrien_Brody_0011.jpg,4,-14.666666666666666,51.8624953661655,14.23883373023623,-22.0
Afton_Smith_0001.jpg,4,-25.666666666666668,56.2737166457051,16.143873794050336,-16.0
Agbani_Darego_0001.jpg,5,-3.0,48.62803036696265,20.450003823992418,-13.0
Ahmed_Chalabi_0002.jpg,5,-6.333333333333333,41.89016471266232,14.295373826357721,-13.0
Ahmed_Chalabi_0004.jpg,4,-10.0,50.49889726090535,15.660554542620837,-17.0
