image,emotion,d_top_left_eye_eyebrow,d_top_right_eye_eyebrow,h_mouth,circum_mouth
facial-expressions_2868585k.jpg,7,23.430749027719962,22.847319317591726,48.041648597857254,138.8053056126126
facial-expressions_2868582k.jpg,3,22.67156809750927,23.021728866442675,21.0,138.31380341747055
Aaron_Guiel_0001.jpg,4,25.0,24.020824298928627,34.132096331752024,168.89207969909725
Aaron_Peirsol_0001.jpg,4,21.18962010041709,19.313207915827967,24.0,146.66105975786948
Aaron_Peirsol_0002.jpg,4,25.495097567963924,23.021728866442675,28.0178514522438,135.81809340234634
Aaron_Peirsol_0003.jpg,4,22.47220505424423,18.973665961010276,27.16615541441225,150.52629373349734
Aaron_Sorkin_0001.jpg,4,22.20360331117452,17.0,41.048751503547585,170.99152617731295
Aaron_Sorkin_0002.jpg,4,18.867962264113206,21.95449840010015,37.12142238654117,191.2812834359729
Abbas_Kiarostami_0001.jpg,5,33.54101966249684,31.575306807693888,20.09975124224178,126.51826896302438
Abdel_Madi_Shabneh_0001.jpg,5,20.518284528683193,18.681541692269406,20.396078054371138,126.69531081220298
Abdel_Nasser_Assidi_0001.jpg,5,28.319604517012593,28.0178514522438,19.1049731745428,107.76654064489156
Abdel_Nasser_Assidi_0002.jpg,5,23.430749027719962,22.47220505424423,15.231546211727817,99.70335925829897
Abdulaziz_Kamilov_0001.jpg,5,28.30194339616981,27.16615541441225,12.649110640673518,104.60132358359022
Abdullah_0001.jpg,5,31.76476034853718,30.463092423455635,14.035668847618199,110.07318888801395
Abdullah_0003.jpg,5,21.95449840010015,24.041630560342615,11.045361017187261,123.31442195878638
Abdullah_0004.jpg,5,25.019992006393608,32.64965543462902,14.142135623730951,90.61693799906774
Abdullah_Ahmad_Badawi_0001.jpg,4,24.041630560342615,25.298221281347036,28.071337695236398,142.33561609795655
Abdullah_al-Attiyah_0003.jpg,5,23.08679276123039,24.758836806279895,29.120439557122072,118.74035724776141
Abdullah_Gul_0001.jpg,5,23.53720459187964,29.154759474226502,40.19950248448356,118.64224725673623
Abdullah_Gul_0002.jpg,4,25.238858928247925,25.495097567963924,27.018512172212592,153.93834515366137
Abdullah_Gul_0004.jpg,4,24.515301344262525,24.186773244895647,32.7566787083184,146.8658209637885
Abdullah_Gul_0005.jpg,4,16.492422502470642,21.93171219946131,36.0,162.94720051809205
Abdullah_Gul_0006.jpg,5,19.72308292331602,20.591260281974,31.016124838541646,124.38569609794907
Abdullah_Gul_0007.jpg,5,14.866068747318506,23.021728866442675,32.55764119219941,128.3812215197217
